Category1,Source1,Category2,Source2,Similarity,PapersInC1,PapersInC2,PapersInBoth,Agreement
humans,OpenAIRE,computer science,OpenAlex,0.4660528418357041,18454,108555,18454,0.1699967758279213
medicine,OpenAIRE,computer science,OpenAlex,0.5423589811203929,12215,108555,12215,0.1125236055455759
artificial intelligence,OpenAIRE,computer science,OpenAlex,0.7153607433899932,28362,108555,28362,0.2612684814149509
social sciences,OpenAIRE,computer science,OpenAlex,0.7537523141900327,18175,108555,18175,0.1674266500852102
computer,OpenAIRE,computer science,OpenAlex,0.8465552600443464,16697,108555,16697,0.1538114319929989
clinical medicine,OpenAIRE,computer science,OpenAlex,0.6190664727396212,11728,108555,11728,0.1080374003961125
electrical engineering electronic engineering information engineering,OpenAIRE,computer science,OpenAlex,0.7347055447031092,20661,108555,20661,0.1903274837639906
mathematics,OpenAIRE,computer science,OpenAlex,0.7486759063068048,18266,108555,18266,0.1682649348256644
business,OpenAIRE,computer science,OpenAlex,0.5153315050421815,50194,108555,50194,0.4623831237621482
engineering and technology,OpenAIRE,computer science,OpenAlex,0.7597246508473249,29291,108555,29291,0.2698263553037631
psychology,OpenAIRE,computer science,OpenAlex,0.7051989528488803,15018,108555,15018,0.1383446179356086
natural sciences,OpenAIRE,computer science,OpenAlex,0.7468764745719817,12609,108555,12609,0.1161531021141357
medical and health sciences,OpenAIRE,computer science,OpenAlex,0.7013156644069625,20359,108555,20359,0.1875454838561098
charcoal,OpenAIRE,coco,OpenAlex,0.5303153565147339,6,9,2,0.1538461538461538
medicine,OpenAIRE,artificial intelligence,OpenAlex,0.4445419666808325,12215,108555,12215,0.1125236055455759
business,OpenAIRE,artificial intelligence,OpenAlex,0.5118464967170271,50194,108555,50194,0.4623831237621482
computer,OpenAIRE,artificial intelligence,OpenAlex,0.5888779748874923,16697,108555,16697,0.1538114319929989
electrical engineering electronic engineering information engineering,OpenAIRE,artificial intelligence,OpenAlex,0.7051572033520997,20661,108555,20661,0.1903274837639906
mathematics,OpenAIRE,artificial intelligence,OpenAlex,0.5312505345747508,18266,108555,18266,0.1682649348256644
natural sciences,OpenAIRE,artificial intelligence,OpenAlex,0.6866842622315039,12609,108555,12609,0.1161531021141357
social sciences,OpenAIRE,artificial intelligence,OpenAlex,0.6491091703899451,18175,108555,18175,0.1674266500852102
psychology,OpenAIRE,artificial intelligence,OpenAlex,0.5315865883700447,15018,108555,15018,0.1383446179356086
medical and health sciences,OpenAIRE,artificial intelligence,OpenAlex,0.6486726402138093,20359,108555,20359,0.1875454838561098
computer science,OpenAIRE,artificial intelligence,OpenAlex,0.7153607433899932,35271,108555,35271,0.3249136382478927
humans,OpenAIRE,artificial intelligence,OpenAlex,0.5402033174331722,18454,108555,18454,0.1699967758279213
engineering and technology,OpenAIRE,artificial intelligence,OpenAlex,0.7301847394534217,29291,108555,29291,0.2698263553037631
artificial intelligence image processing,OpenAIRE,artificial intelligence,OpenAlex,0.6228381175894349,14227,108555,14227,0.1310579890378149
convolutional neural network,OpenAIRE,deep learning,OpenAlex,0.5574719972529156,1607,2820,930,0.2659422362024592
fos computer and information sciences,OpenAIRE,deep learning,OpenAlex,0.4017536808549419,5999,2820,1161,0.1516061634891616
artificial neural network,OpenAIRE,deep learning,OpenAlex,0.5685463835699356,4968,2820,786,0.1122536418166238
machine learning,OpenAIRE,deep learning,OpenAlex,0.7167730837124977,6830,2820,968,0.1114950472241419
computer science - computer vision and pattern recognition,OpenAIRE,deep learning,OpenAlex,0.5802342524166031,2288,2820,711,0.1617011598817375
computer vision,OpenAIRE,segmentation,OpenAlex,0.7310637356902362,6740,2408,912,0.1107333657115104
radiology image segmentation,OpenAIRE,segmentation,OpenAlex,0.686307898885387,2083,2408,470,0.1168863466799303
image segmentation,OpenAIRE,segmentation,OpenAlex,0.8308392766193361,1377,2408,982,0.3503389225829468
scale-space segmentation,OpenAIRE,segmentation,OpenAlex,0.7063458420134039,295,2408,290,0.1201823456278491
nuclear medicine medical imaging,OpenAIRE,segmentation,OpenAlex,0.5578436658552599,3058,2408,581,0.1189355168884339
computer vision and pattern recognition,OpenAIRE,pattern recognition (psychology),OpenAlex,0.3560584838529019,3344,12667,1956,0.1391675560298826
artificial intelligence,OpenAIRE,pattern recognition (psychology),OpenAlex,0.2290931096475114,28362,12667,10098,0.3264685913808153
fos computer and information sciences,OpenAIRE,pattern recognition (psychology),OpenAlex,0.5441657771920754,5999,12667,1762,0.1042356838618078
feature extraction,OpenAIRE,pattern recognition (psychology),OpenAlex,0.3572044820113189,2276,12667,1890,0.1447943001608825
electrical engineering electronic engineering information engineering,OpenAIRE,pattern recognition (psychology),OpenAlex,0.4013832882919645,20661,12667,5570,0.2006628719648389
artificial intelligence image processing,OpenAIRE,pattern recognition (psychology),OpenAlex,0.4338127837484393,14227,12667,5039,0.2305650880805307
computer science,OpenAIRE,pattern recognition (psychology),OpenAlex,0.271769086626441,35271,12667,7570,0.1875247720967102
applications of computer vision computer vision image processing,OpenAIRE,pattern recognition (psychology),OpenAlex,0.4951479928071396,4554,12667,2608,0.178471224252378
mathematics,OpenAIRE,pattern recognition (psychology),OpenAlex,0.3668566686019246,18266,12667,3081,0.1106204222317966
computer vision and pattern recognition (cs cv),OpenAIRE,pattern recognition (psychology),OpenAlex,0.9262763541306148,2283,12667,1380,0.1016949152542373
pattern recognition,OpenAIRE,pattern recognition (psychology),OpenAlex,0.4053248869949377,7486,12667,6416,0.467059765596564
