n.category_name,n.source
"""cognitive psychology""","""OpenAIRE"""
"""computer graphics (images)""","""OpenAlex"""
"""scripting language""","""OpenAlex"""
"""visualization""","""OpenAlex"""
"""rendering (computer graphics)""","""OpenAlex"""
"""molecular graphics""","""OpenAlex"""
"""python (programming language)""","""OpenAlex"""
"""graphics""","""OpenAlex"""
"""software""","""OpenAlex"""
"""computer graphics""","""OpenAlex"""
"""computational science""","""OpenAlex"""
"""models molecular""","""OpenAIRE"""
"""source code""","""OpenAIRE"""
"""media common quotation subject""","""OpenAIRE"""
"""biophysics""","""OpenAIRE"""
"""proteins""","""OpenAIRE"""
"""computer file format""","""OpenAIRE"""
"""biochemistry""","""OpenAIRE"""
"""molecular graphics""","""OpenAIRE"""
"""rendering (computer graphics)""","""OpenAIRE"""
"""visualization""","""OpenAIRE"""
"""computer graphics""","""OpenAIRE"""
"""user-computer interface""","""OpenAIRE"""
"""nucleic acids""","""OpenAIRE"""
"""computer graphics (images)""","""OpenAIRE"""
"""computer simulation""","""OpenAIRE"""
"""raster graphics""","""OpenAIRE"""
"""interactive visualization""","""OpenAIRE"""
"""media common""","""OpenAIRE"""
"""graphical user interface""","""OpenAIRE"""
"""intelligent character recognition""","""OpenAlex"""
"""handwriting recognition""","""OpenAlex"""
"""transformer""","""OpenAlex"""
"""preprocessor""","""OpenAlex"""
"""handwriting""","""OpenAlex"""
"""graph""","""OpenAlex"""
"""optical character recognition""","""OpenAlex"""
"""feature extraction""","""OpenAlex"""
"""character recognition""","""OpenAlex"""
"""theoretical computer science""","""OpenAlex"""
"""voltage""","""OpenAlex"""
"""network architecture""","""OpenAIRE"""
"""handwriting recognition""","""OpenAIRE"""
"""decision boundary""","""OpenAIRE"""
"""language model""","""OpenAIRE"""
"""statistical mechanics""","""OpenAlex"""
"""simulated annealing""","""OpenAlex"""
"""connection (principal bundle)""","""OpenAlex"""
"""analogy""","""OpenAlex"""
"""optimization problem""","""OpenAlex"""
"""mathematical optimization""","""OpenAlex"""
"""extremal optimization""","""OpenAlex"""
"""multivariate statistics""","""OpenAlex"""
"""statistical physics""","""OpenAlex"""
"""complex system""","""OpenAlex"""
"""degrees of freedom (physics and chemistry)""","""OpenAlex"""
"""multi-swarm optimization""","""OpenAlex"""
"""thermodynamics""","""OpenAlex"""
"""linguistics""","""OpenAlex"""
"""geometry""","""OpenAlex"""
"""continuous optimization""","""OpenAIRE"""
"""extremal optimization""","""OpenAIRE"""
"""vector optimization""","""OpenAIRE"""
"""mathematical optimization""","""OpenAIRE"""
"""optimization problem""","""OpenAIRE"""
"""quantum annealing""","""OpenAIRE"""
"""simulated annealing""","""OpenAIRE"""
"""combinatorial optimization""","""OpenAIRE"""
"""adaptive simulated annealing""","""OpenAIRE"""
"""jpeg""","""OpenAlex"""
"""human visual system model""","""OpenAlex"""
"""image quality""","""OpenAlex"""
"""visibility""","""OpenAlex"""
"""computer vision""","""OpenAlex"""
"""structural similarity""","""OpenAlex"""
"""image compression""","""OpenAlex"""
"""transform coding""","""OpenAlex"""
"""image processing""","""OpenAlex"""
"""discrete cosine transform""","""OpenAlex"""
"""optics""","""OpenAlex"""
"""quality control""","""OpenAIRE"""
"""compression artifact""","""OpenAIRE"""
"""structural similarity""","""OpenAIRE"""
"""image quality""","""OpenAIRE"""
"""other engineering and technologies""","""OpenAIRE"""
"""information storage and retrieval""","""OpenAIRE"""
"""image processing""","""OpenAIRE"""
"""sensitivity and specificity""","""OpenAIRE"""
"""pattern recognition automated""","""OpenAIRE"""
"""remote sensing imaging""","""OpenAIRE"""
"""image interpretation computer-assisted""","""OpenAIRE"""
"""pevq""","""OpenAIRE"""
"""subjective video quality""","""OpenAIRE"""
"""transform coding""","""OpenAIRE"""
"""geological geomatics engineering""","""OpenAIRE"""
"""models statistical""","""OpenAIRE"""
"""visibility (geometry)""","""OpenAIRE"""
"""reproducibility of results""","""OpenAIRE"""
"""signal processing computer-assisted""","""OpenAIRE"""
"""image enhancement""","""OpenAIRE"""
"""hypermedia""","""OpenAIRE"""
"""computer graphics and computer-aided design""","""OpenAIRE"""
"""jpeg""","""OpenAIRE"""
"""superresolution""","""OpenAIRE"""
"""cyclopean image""","""OpenAIRE"""
"""view synthesis""","""OpenAIRE"""
"""data interpretation statistical""","""OpenAIRE"""
"""subtraction technique""","""OpenAIRE"""
"""human visual system model""","""OpenAIRE"""
"""image translation""","""OpenAIRE"""
"""software""","""OpenAIRE"""
"""data compression""","""OpenAIRE"""
"""image compression""","""OpenAIRE"""
"""phylogenetic tree""","""OpenAlex"""
"""mega-""","""OpenAlex"""
"""phylogenetics""","""OpenAlex"""
"""inference""","""OpenAlex"""
"""divergence (linguistics)""","""OpenAlex"""
"""human evolutionary genetics""","""OpenAlex"""
"""wizard""","""OpenAlex"""
"""graphical user interface""","""OpenAlex"""
"""evolutionary biology""","""OpenAlex"""
"""astronomy""","""OpenAlex"""
"""world wide web""","""OpenAlex"""
"""evolutionary biology""","""OpenAIRE"""
"""human evolutionary genetics""","""OpenAIRE"""
"""genetics""","""OpenAIRE"""
"""mega-""","""OpenAIRE"""
"""ecology evolution behavior and systematics""","""OpenAIRE"""
"""interaction network""","""OpenAlex"""
"""gene regulatory network""","""OpenAlex"""
"""interface (matter)""","""OpenAlex"""
"""biological network""","""OpenAlex"""
"""systems biology""","""OpenAlex"""
"""plug-in""","""OpenAlex"""
"""bioinformatics""","""OpenAlex"""
"""gene expression""","""OpenAlex"""
"""pulmonary surfactant""","""OpenAlex"""
"""biochemistry""","""OpenAlex"""
"""gibbs isotherm""","""OpenAlex"""
"""archaeal proteins""","""OpenAIRE"""
"""medical engineering""","""OpenAIRE"""
"""computational biology""","""OpenAIRE"""
"""bioinformatics""","""OpenAIRE"""
"""models biological""","""OpenAIRE"""
"""software design""","""OpenAIRE"""
"""interaction network""","""OpenAIRE"""
"""genetics (clinical)""","""OpenAIRE"""
"""internet""","""OpenAIRE"""
"""stochastic processes""","""OpenAIRE"""
"""genomics bioinformatics""","""OpenAIRE"""
"""bacteriophage lambda""","""OpenAIRE"""
"""resources""","""OpenAIRE"""
"""phenotype""","""OpenAIRE"""
"""pooling""","""OpenAlex"""
"""covariate""","""OpenAlex"""
"""clinical trial""","""OpenAlex"""
"""homogeneity (statistics)""","""OpenAlex"""
"""random effects model""","""OpenAlex"""
"""treatment effect""","""OpenAlex"""
"""econometrics""","""OpenAlex"""
"""meta-analysis""","""OpenAlex"""
"""medicine""","""OpenAlex"""
"""internal medicine""","""OpenAlex"""
"""traditional medicine""","""OpenAlex"""
"""adult""","""OpenAIRE"""
"""male""","""OpenAIRE"""
"""medicine medical specialty""","""OpenAIRE"""
"""medicine drug class""","""OpenAIRE"""
"""sexual behavior""","""OpenAIRE"""
"""population""","""OpenAIRE"""
"""angiotensin-converting enzyme inhibitors""","""OpenAIRE"""
"""placebo""","""OpenAIRE"""
"""law invention""","""OpenAIRE"""
"""cognition""","""OpenAIRE"""
"""double-blind method""","""OpenAIRE"""
"""meta-analysis as topic""","""OpenAIRE"""
"""randomized controlled trial""","""OpenAIRE"""
"""law""","""OpenAIRE"""
"""internal medicine""","""OpenAIRE"""
"""medicine""","""OpenAIRE"""
"""education""","""OpenAIRE"""
"""randomized controlled trials as topic""","""OpenAIRE"""
"""psychomotor learning""","""OpenAIRE"""
"""clinical trials as topic""","""OpenAIRE"""
"""education field of study""","""OpenAIRE"""
"""middle aged""","""OpenAIRE"""
"""surgery""","""OpenAIRE"""
"""clinical trial""","""OpenAIRE"""
"""affect""","""OpenAIRE"""
"""mood""","""OpenAIRE"""
"""hypertension""","""OpenAIRE"""
"""quality of life""","""OpenAIRE"""
"""female""","""OpenAIRE"""
"""sleep""","""OpenAIRE"""
"""psychomotor performance""","""OpenAIRE"""
"""variety (cybernetics)""","""OpenAlex"""
"""psychopathology""","""OpenAlex"""
"""medical diagnosis""","""OpenAlex"""
"""rating scale""","""OpenAlex"""
"""clinical psychology""","""OpenAlex"""
"""psychological testing""","""OpenAlex"""
"""psychiatry""","""OpenAlex"""
"""developmental psychology""","""OpenAlex"""
"""pathology""","""OpenAlex"""
"""depressive disorder""","""OpenAIRE"""
"""psychological tests""","""OpenAIRE"""
"""personality inventory""","""OpenAIRE"""
"""depression""","""OpenAIRE"""
"""beck depression inventory""","""OpenAIRE"""
"""psychiatry and mental health""","""OpenAIRE"""
"""arts and humanities (miscellaneous)""","""OpenAIRE"""
"""rating scale""","""OpenAIRE"""
"""psychological testing""","""OpenAIRE"""
"""medical diagnosis""","""OpenAIRE"""
"""personality assessment inventory""","""OpenAIRE"""
"""psychiatry""","""OpenAIRE"""
"""clinical psychology""","""OpenAIRE"""
"""margin (machine learning)""","""OpenAlex"""
"""sliding window protocol""","""OpenAlex"""
"""context (archaeology)""","""OpenAlex"""
"""path (computing)""","""OpenAlex"""
"""image segmentation""","""OpenAlex"""
"""network architecture""","""OpenAlex"""
"""window (computing)""","""OpenAlex"""
"""computer network""","""OpenAlex"""
"""operating system""","""OpenAlex"""
"""paleontology""","""OpenAlex"""
"""cognitive neuroscience""","""OpenAIRE"""
"""computer vision and pattern recognition""","""OpenAIRE"""
"""computer science applications""","""OpenAIRE"""
"""false discovery rate""","""OpenAlex"""
"""multiple comparisons problem""","""OpenAlex"""
"""word error rate""","""OpenAlex"""
