Category1,Source1,Category2,Source2,Similarity,PapersInC1,PapersInC2,PapersInBoth,Agreement
construct (philosophy),OpenAIRE,construct (python library),OpenAlex,0.9590375021285316,602,1299,505,0.3617478510028653
social network,OpenAIRE,social network (sociolinguistics),OpenAlex,0.4239235291669366,349,255,166,0.3789954337899543
competition (economics),OpenAIRE,competition (biology),OpenAlex,0.9835219623628524,243,471,171,0.3149171270718232
conductive atomic force microscopy,OpenAIRE,magnetic force microscope,OpenAlex,0.8653808119447285,27,27,13,0.3170731707317073
non-contact atomic force microscopy,OpenAIRE,magnetic force microscope,OpenAlex,0.7413932093401944,22,27,14,0.4
non-contact atomic force microscopy,OpenAIRE,conductive atomic force microscopy,OpenAlex,0.7998456629609246,22,36,14,0.3181818181818182
conductive atomic force microscopy,OpenAIRE,non-contact atomic force microscopy,OpenAlex,0.7998456629609246,27,26,13,0.325
surface roughness,OpenAIRE,surface finish,OpenAlex,0.798388824036687,60,107,41,0.3253968253968254
electron tomography,OpenAIRE,scanning transmission electron microscopy,OpenAlex,0.9476149847340598,26,65,23,0.3382352941176471
force field (chemistry),OpenAIRE,force field (fiction),OpenAlex,0.9771571481532372,86,133,75,0.5208333333333334
open government,OpenAIRE,open data,OpenAlex,0.6891542360432175,6,14,5,0.3333333333333333
exome,OpenAIRE,exome sequencing,OpenAlex,0.9469750087192744,7,8,5,0.5
segmentation-based object categorization,OpenAIRE,scale-space segmentation,OpenAlex,0.8319870469185139,208,252,120,0.3529411764705882
face (geometry),OpenAIRE,face (sociological concept),OpenAlex,0.9559466739735664,480,1005,359,0.3188277087033748
facial recognition system,OpenAIRE,face (sociological concept),OpenAlex,0.3411030594101822,647,1005,418,0.3387358184764992
projection (set theory),OpenAIRE,projection (relational algebra),OpenAlex,0.9407053356905026,222,495,169,0.3083941605839416
fuzzy number,OpenAIRE,fuzzy set,OpenAlex,0.432983799260483,703,1142,550,0.4247104247104247
fuzzy classification,OpenAIRE,fuzzy set,OpenAlex,0.4676056450723837,577,1142,452,0.356748224151539
fuzzy set operations,OpenAIRE,fuzzy set,OpenAlex,0.8576028421579193,652,1142,516,0.4037558685446009
reciprocity (evolution),OpenAIRE,reciprocity (cultural anthropology),OpenAlex,0.9627557352807142,35,88,29,0.3085106382978723
non-negative matrix factorization,OpenAIRE,matrix decomposition,OpenAlex,0.701118763566028,95,222,81,0.3432203389830508
matrix (mathematics),OpenAIRE,matrix (chemical analysis),OpenAlex,0.9584141626486268,462,665,262,0.3028901734104046
scope (project management),OpenAIRE,scope (computer science),OpenAlex,0.949768189167853,262,529,221,0.387719298245614
camera auto-calibration,OpenAIRE,camera resectioning,OpenAlex,0.5602096109566982,35,45,23,0.4035087719298245
distortion,OpenAIRE,distortion (music),OpenAlex,0.2909356258262682,255,376,187,0.4211711711711711
component (uml),OpenAIRE,component (thermodynamics),OpenAlex,0.9563256453929186,519,702,290,0.3114930182599355
resilience (network),OpenAIRE,resilience (materials science),OpenAlex,0.9463773548355112,95,160,82,0.4739884393063583
centrifugal pump,OpenAIRE,impeller,OpenAlex,0.6144405068986519,8,10,6,0.5
ontology (information science),OpenAIRE,ontology,OpenAlex,0.5009346902606723,182,262,145,0.4849498327759197
entropy (information theory),OpenAIRE,entropy (arrow of time),OpenAlex,0.8435770740855622,392,608,234,0.3054830287206266
active learning,OpenAIRE,active learning (machine learning),OpenAlex,0.5877259990888483,282,295,138,0.3143507972665148
dominance-based rough set approach,OpenAIRE,rough set,OpenAlex,0.7362346779048674,68,197,67,0.3383838383838384
stimulus (physiology),OpenAIRE,stimulus (psychology),OpenAlex,0.9894689180281608,615,844,518,0.5504782146652497
hippocampus,OpenAIRE,hippocampal formation,OpenAlex,0.7484759903000769,295,156,124,0.3792048929663608
framing (social sciences),OpenAIRE,framing (construction),OpenAlex,0.9266706656419004,74,116,61,0.4728682170542636
relevance (information retrieval),OpenAIRE,relevance (law),OpenAlex,0.881352919335682,391,766,312,0.3692307692307692
action (philosophy),OpenAIRE,action (physics),OpenAlex,0.9876624792043824,808,1344,639,0.4223397224058162
quality (business),OpenAIRE,quality (philosophy),OpenAlex,0.976134265477579,1272,1845,858,0.3798140770252324
approximate string matching,OpenAIRE,string searching algorithm,OpenAlex,0.8452037675799215,20,52,18,0.3333333333333333
string searching algorithm,OpenAIRE,pattern matching,OpenAlex,0.7662282106041074,38,87,29,0.3020833333333333
robustness (computer science),OpenAIRE,robustness (evolution),OpenAlex,0.9574491536386808,1722,1962,1190,0.4771451483560545
diabetic retinopathy,OpenAIRE,diabetes mellitus,OpenAlex,0.8658230815094552,91,146,70,0.4191616766467065
delphi technique,OpenAIRE,delphi method,OpenAlex,0.8846534076625845,109,340,107,0.3128654970760234
delphi,OpenAIRE,delphi method,OpenAlex,0.4273141766035201,126,340,122,0.3546511627906977
percolation,OpenAIRE,percolation (cognitive psychology),OpenAlex,0.5200677354134933,21,33,16,0.4210526315789473
energy engineering and power technology,OpenAIRE,electric power system,OpenAlex,0.8547496126911648,1280,1031,612,0.3602118893466745
histogram matching,OpenAIRE,adaptive histogram equalization,OpenAlex,0.7939078034727254,60,53,33,0.4125
histogram equalization,OpenAIRE,adaptive histogram equalization,OpenAlex,0.9658062861952058,56,53,30,0.379746835443038
adaptive histogram equalization,OpenAIRE,histogram equalization,OpenAlex,0.9658062861952058,55,87,47,0.4947368421052631
balanced histogram thresholding,OpenAIRE,histogram equalization,OpenAlex,0.8211135111434231,61,87,35,0.3097345132743362
level set method,OpenAIRE,level set (data structures),OpenAlex,0.5709671002727582,70,83,44,0.4036697247706422
quantum physics,OpenAIRE,quantum,OpenAlex,0.9272453146666414,349,806,271,0.3065610859728507
fuzzy set operations,OpenAIRE,fuzzy number,OpenAlex,0.496974567769317,652,570,365,0.425904317386231
type- fuzzy sets and systems,OpenAIRE,fuzzy number,OpenAlex,0.544133778326394,332,570,210,0.3034682080924855
fuzzy classification,OpenAIRE,fuzzy number,OpenAlex,0.6535091529318298,577,570,332,0.407361963190184
fuzzy set operations,OpenAIRE,fuzzy classification,OpenAlex,0.5998958820948286,652,315,242,0.3337931034482758
type- fuzzy sets and systems,OpenAIRE,fuzzy classification,OpenAlex,0.7119960374781972,332,315,152,0.307070707070707
fuzzy number,OpenAIRE,fuzzy classification,OpenAlex,0.6535091529318298,703,315,237,0.3034571062740077
multivariate kernel density estimation,OpenAIRE,kernel density estimation,OpenAlex,0.9795168088916262,49,125,42,0.3181818181818182
probit model,OpenAIRE,probit,OpenAlex,0.7790714208007354,26,29,14,0.3414634146341463
database tuning,OpenAIRE,database testing,OpenAlex,0.8206200143339675,9,7,4,0.3333333333333333
stock market,OpenAIRE,horse,OpenAlex,0.1939767017682768,85,105,57,0.4285714285714285
gyrus cinguli,OpenAIRE,anterior cingulate cortex,OpenAlex,0.8028883334918465,78,113,50,0.3546099290780142
test (assessment),OpenAIRE,test (biology),OpenAlex,0.9778323497470712,599,903,384,0.3434704830053667
surface finish,OpenAIRE,surface roughness,OpenAlex,0.798388824036687,99,67,39,0.3070866141732283
surface (mathematics),OpenAIRE,surface (topology),OpenAlex,0.991454430024964,334,460,190,0.314569536423841
recommender system,OpenAIRE,collaborative filtering,OpenAlex,0.6711984249681446,229,143,104,0.3880597014925373
collaborative filtering,OpenAIRE,recommender system,OpenAlex,0.6711984249681446,135,285,117,0.3861386138613861
signature (logic),OpenAIRE,signature (topology),OpenAlex,0.983985166159386,55,89,37,0.3457943925233644
taxonomy (general),OpenAIRE,taxonomy (biology),OpenAlex,0.9752728731111868,239,265,126,0.3333333333333333
possession (law),OpenAIRE,possession (linguistics),OpenAlex,0.8994578944972661,14,26,11,0.3793103448275862
land cover,OpenAIRE,land use,OpenAlex,0.7647153739278814,164,229,127,0.4774436090225564
collision avoidance,OpenAIRE,collision,OpenAlex,0.8507372439462962,76,155,56,0.32
particle,OpenAIRE,particle (ecology),OpenAlex,0.2874137414943686,87,126,56,0.3566878980891719
evolutionary computation,OpenAIRE,evolutionary algorithm,OpenAlex,0.8657161654599391,300,366,160,0.3162055335968379
scheduling (computing),OpenAIRE,scheduling (production processes),OpenAlex,0.9663120981668812,280,439,214,0.4237623762376237
reliability (statistics),OpenAIRE,reliability (semiconductor),OpenAlex,0.9855222882237256,504,1040,410,0.3615520282186948
light-emitting diode,OpenAIRE,led lamp,OpenAlex,0.3048045299703922,12,8,7,0.5384615384615384
compensation (engineering),OpenAIRE,compensation (psychology),OpenAlex,0.9853278764304784,142,282,112,0.358974358974359
hypergeometric distribution,OpenAIRE,hypergeometric function,OpenAlex,0.8882843737035799,6,9,4,0.3636363636363636
drop (liquid),OpenAIRE,drop (telecommunication),OpenAlex,0.9677816671988668,8,17,7,0.3888888888888889
block (data storage),OpenAIRE,block (permutation group theory),OpenAlex,0.8641872118497682,148,303,108,0.314868804664723
enterprise planning system,OpenAIRE,enterprise system,OpenAlex,0.949793110143413,7,9,5,0.4545454545454545
social heuristics,OpenAIRE,social competence,OpenAlex,0.9311876394054251,30,39,17,0.3269230769230769
voltammetry,OpenAIRE,cyclic voltammetry,OpenAlex,0.8785978764093564,6,9,4,0.3636363636363636
mate choice,OpenAIRE,sexual selection,OpenAlex,0.4012893196514377,180,394,135,0.3075170842824601
sexual selection,OpenAIRE,mating,OpenAlex,0.6427836963057078,333,332,178,0.3655030800821355
sexual selection,OpenAIRE,mate choice,OpenAlex,0.4012893196514377,333,214,148,0.3709273182957393
indeterminacy (literature),OpenAIRE,indeterminacy (philosophy),OpenAlex,0.9913393828471698,12,21,8,0.32
bankruptcy,OpenAIRE,bankruptcy prediction,OpenAlex,0.739626291998386,35,54,26,0.4126984126984127
bankruptcy prediction,OpenAIRE,bankruptcy,OpenAlex,0.739626291998386,46,60,41,0.6307692307692307
albedo,OpenAIRE,albedo (alchemy),OpenAlex,0.2250340349247796,16,13,11,0.6111111111111112
affect (psychology),OpenAIRE,affect (linguistics),OpenAlex,0.9892146360263918,639,847,446,0.4288461538461538
cone-beam computed tomography,OpenAIRE,cone beam computed tomography,OpenAlex,0.9002432670631902,17,25,11,0.3548387096774194
phantoms imaging,OpenAIRE,imaging phantom,OpenAlex,0.7548195527378728,245,226,114,0.3193277310924369
vegetation,OpenAIRE,vegetation (pathology),OpenAlex,0.3288685737134825,112,142,74,0.4111111111111111
modularity (networks),OpenAIRE,modularity (biology),OpenAlex,0.9725483522316558,82,174,72,0.391304347826087
residue (complex analysis),OpenAIRE,residue (chemistry),OpenAlex,0.9535306519789172,7,13,7,0.5384615384615384
anticipation,OpenAIRE,anticipation (artificial intelligence),OpenAlex,0.3472983307634776,212,560,207,0.3663716814159292
multivariate kernel density estimation,OpenAIRE,variable kernel density estimation,OpenAlex,0.9792176115852732,49,93,39,0.3786407766990291
contingency,OpenAIRE,contingency theory,OpenAlex,0.7607860407140028,83,62,35,0.3181818181818182
eye movements,OpenAIRE,eye movement,OpenAlex,0.980739194216548,452,571,272,0.3621837549933422
maximum power principle,OpenAIRE,maximum power point tracking,OpenAlex,0.8755489051375283,98,182,75,0.3658536585365853
maximum power point tracking,OpenAIRE,maximum power principle,OpenAlex,0.8755489051375283,176,145,118,0.5812807881773399
wind power,OpenAIRE,wind speed,OpenAlex,0.8112359983797894,342,172,124,0.3179487179487179
maximum power point tracking,OpenAIRE,inverter,OpenAlex,0.6154058780022953,176,349,152,0.4075067024128686
promotion (rank),OpenAIRE,promotion (chess),OpenAlex,0.9471137895668142,97,127,72,0.4736842105263157
radar imaging,OpenAIRE,synthetic aperture radar,OpenAlex,0.8554263768906428,158,273,117,0.3726114649681528
dilation (morphology),OpenAIRE,dilation (metric space),OpenAlex,0.9372167712736608,21,28,12,0.3243243243243243
delphi method,OpenAIRE,delphi,OpenAlex,0.4273141766035201,234,226,167,0.5699658703071673
observer (quantum physics),OpenAIRE,observer (physics),OpenAlex,0.9821171097309004,231,489,178,0.3284132841328413
quantile,OpenAIRE,quantile regression,OpenAlex,0.9174814467733052,62,37,29,0.4142857142857143
quantile regression,OpenAIRE,quantile,OpenAlex,0.9174814467733052,32,68,26,0.3513513513513513
connectome,OpenAIRE,functional connectivity,OpenAlex,0.6910361333729969,119,232,89,0.3396946564885496
microbiota,OpenAIRE,microbiome,OpenAlex,0.9157962722350804,52,48,28,0.3888888888888889
antibiotic resistance,OpenAIRE,antibiotics,OpenAlex,0.8194873738820014,30,42,23,0.4693877551020408
drug resistance bacterial,OpenAIRE,antibiotics,OpenAlex,0.7213273924986576,27,42,16,0.3018867924528302
anti-bacterial agents,OpenAIRE,antibiotics,OpenAlex,0.54393834757087,49,42,22,0.3188405797101449
drug resistance bacterial,OpenAIRE,antibiotic resistance,OpenAlex,0.841737848335103,27,29,14,0.3333333333333333
white (horse),OpenAIRE,white (mutation),OpenAlex,0.9540188087387376,47,82,34,0.3578947368421052
fixation (visual),OpenAIRE,fixation (population genetics),OpenAlex,0.9439625504015836,218,327,148,0.3727959697732997
node (networking),OpenAIRE,node (physics),OpenAlex,0.9773289653202104,233,413,164,0.3402489626556016
compressed suffix array,OpenAIRE,suffix array,OpenAlex,0.9275913949480802,8,7,5,0.5
obstacle avoidance,OpenAIRE,obstacle,OpenAlex,0.7911584966805895,106,175,70,0.3317535545023696
interpolation,OpenAIRE,interpolation (computer graphics),OpenAlex,0.4249814753282713,455,587,363,0.5346097201767305
tourism leisure and hospitality management,OpenAIRE,tourism,OpenAlex,0.6911858954649978,346,325,236,0.542528735632184
sport leisure tourism,OpenAIRE,tourism,OpenAlex,0.5515879723656767,324,325,184,0.3956989247311828
types of tourism tourism,OpenAIRE,tourism,OpenAlex,0.5210218538940793,284,325,185,0.4363207547169811
consumption (economics),OpenAIRE,consumption (sociology),OpenAlex,0.9931867880355794,184,309,143,0.4085714285714286
identity (social science),OpenAIRE,identity (music),OpenAlex,0.90494344633513,295,587,225,0.3424657534246575
wind power,OpenAIRE,turbine,OpenAlex,0.601560946411123,342,195,129,0.3161764705882353
materials informatics,OpenAIRE,engineering informatics,OpenAlex,0.886104332306697,11,14,7,0.3888888888888889
series (mathematics),OpenAIRE,series (stratigraphy),OpenAlex,0.9864732160323192,553,912,368,0.3354603463992707
evolution of eusociality,OpenAIRE,eusociality,OpenAlex,0.673861791299529,9,13,7,0.4666666666666667
brain-computer interface,OpenAIRE,brain-computer interface,OpenAlex,0.732867755144573,76,125,61,0.4357142857142857
oximetry,OpenAIRE,pulse oximetry,OpenAlex,0.842442494281484,11,9,5,0.3333333333333333
supply chain,OpenAIRE,supply chain management,OpenAlex,0.9378129257533871,382,365,240,0.4733727810650887
supply chain management,OpenAIRE,supply chain,OpenAlex,0.9378129257533871,298,540,252,0.4300341296928328
moral disengagement,OpenAIRE,moral development,OpenAlex,0.912874478911588,29,31,17,0.3953488372093023
streamflow,OpenAIRE,drainage basin,OpenAlex,0.543310381095403,44,80,36,0.4090909090909091
hydrology,OpenAIRE,hydrology (agriculture),OpenAlex,0.4092987283842136,156,146,83,0.3789954337899543
free flight,OpenAIRE,air traffic management,OpenAlex,0.5183774284524842,6,10,4,0.3333333333333333
air traffic control,OpenAIRE,air traffic management,OpenAlex,0.9577606918789768,31,10,10,0.3225806451612903
collocation,OpenAIRE,collocation (remote sensing),OpenAlex,0.4818535397515707,23,37,14,0.3043478260869565
impulsive behavior,OpenAIRE,impulsivity,OpenAlex,0.686636609155763,26,42,16,0.3076923076923077
bearing (mechanical),OpenAIRE,bearing (navigation),OpenAlex,0.9846014153794952,192,285,176,0.584717607973422
fault (power engineering),OpenAIRE,fault (geology),OpenAlex,0.9336759324568444,395,609,354,0.5446153846153846
keystroke dynamics,OpenAIRE,keystroke logging,OpenAlex,0.734204640412881,7,15,7,0.4666666666666667
meridian (perimetry visual field),OpenAIRE,meridian (astronomy),OpenAlex,0.88166583635382,9,8,4,0.3076923076923077
invariant (mathematics),OpenAIRE,invariant (physics),OpenAlex,0.9937266589357322,375,601,245,0.33515731874145
outgroup,OpenAIRE,ingroups and outgroups,OpenAlex,0.7308655639910142,35,45,21,0.3559322033898305
t-vertices,OpenAIRE,mesh generation,OpenAlex,0.3988055998522098,14,24,9,0.3103448275862069
synthetic aperture radar,OpenAIRE,radar imaging,OpenAlex,0.8554263768906428,270,159,108,0.3364485981308411
acoustic doppler velocimetry,OpenAIRE,laser doppler velocimetry,OpenAlex,0.876862461936529,7,16,7,0.4375
sustainability,OpenAIRE,sustainability,OpenAlex,0.4248097100596728,516,464,330,0.5076923076923077
wetting,OpenAIRE,wetting transition,OpenAlex,0.8283577670067801,19,6,6,0.3157894736842105
meiosis,OpenAIRE,chromosomal crossover,OpenAlex,0.8668258065983676,28,16,13,0.4193548387096774
chromosomal crossover,OpenAIRE,meiosis,OpenAlex,0.8668258065983676,18,26,13,0.4193548387096774
gender psychology,OpenAIRE,gender identity,OpenAlex,0.8739020597525498,12,12,8,0.5
gender psychology,OpenAIRE,gender role,OpenAlex,0.7121721128782629,12,9,5,0.3125
homogenization (chemistry),OpenAIRE,homogenization (climate),OpenAlex,0.9713063715622324,16,16,13,0.6842105263157895
docking (molecular),OpenAIRE,docking (animal),OpenAlex,0.9758370465825692,67,62,57,0.7916666666666666
algebraic graph theory,OpenAIRE,algebraic connectivity,OpenAlex,0.80427737390555,11,10,5,0.3125
charismatic authority,OpenAIRE,charisma,OpenAlex,0.3260449216794484,8,10,7,0.6363636363636364
band-stop filter,OpenAIRE,low-pass filter,OpenAlex,0.6464256640761158,23,50,19,0.3518518518518518
entrepreneurship business occupations,OpenAIRE,entrepreneurship,OpenAlex,0.5109113463007288,214,310,129,0.3265822784810127
hamiltonian (quantum mechanics),OpenAIRE,hamiltonian (control theory),OpenAlex,0.9594034176482026,54,82,43,0.4623655913978494
diffusion magnetic resonance imaging,OpenAIRE,diffusion mri,OpenAlex,0.7764374896557327,106,203,86,0.3856502242152466
neuromodulation (medicine),OpenAIRE,neuromodulation,OpenAlex,0.3987185097789491,7,12,6,0.4615384615384615
indentation,OpenAIRE,nanoindentation,OpenAlex,0.999999972021694,10,10,7,0.5384615384615384
video quality,OpenAIRE,subjective video quality,OpenAlex,0.9429475164537036,39,25,23,0.5609756097560976
multicast,OpenAIRE,source-specific multicast,OpenAlex,0.7014718505486038,13,6,5,0.3571428571428571
autistic disorder,OpenAIRE,autism,OpenAlex,0.8904283824568615,95,210,83,0.3738738738738739
watermark,OpenAIRE,digital watermarking,OpenAlex,0.5305057086791208,108,182,103,0.5508021390374331
digital watermarking,OpenAIRE,watermark,OpenAlex,0.5305057086791208,171,113,97,0.5187165775401069
container (abstract data type),OpenAIRE,container (type theory),OpenAlex,0.93897315072098,39,43,30,0.5769230769230769
fermi gas,OpenAIRE,fermi gamma-ray space telescope,OpenAlex,0.2486067407329675,9,11,5,0.3333333333333333
breast neoplasms,OpenAIRE,breast cancer,OpenAlex,0.8807822204680567,212,243,125,0.3787878787878788
calcium imaging,OpenAIRE,calcium,OpenAlex,0.7592933405238078,19,24,11,0.34375
interval (mathematics),OpenAIRE,interval (graph theory),OpenAlex,0.9557135375675034,205,362,131,0.3004587155963302
percolation,OpenAIRE,percolation threshold,OpenAlex,0.8978814799766277,21,12,8,0.32
lattice (order),OpenAIRE,lattice (music),OpenAlex,0.927221026517696,88,137,60,0.3636363636363636
detrended fluctuation analysis,OpenAIRE,hurst exponent,OpenAlex,0.6109242117446345,22,18,10,0.3333333333333333
ant colony,OpenAIRE,ant colony optimization algorithms,OpenAlex,0.7803985722793209,56,132,47,0.3333333333333333
body temperature regulation,OpenAIRE,thermoregulation,OpenAlex,0.7582541949549501,15,10,6,0.3157894736842105
slip (materials science),OpenAIRE,slip (aerodynamics),OpenAlex,0.946399707096812,44,72,35,0.4320987654320987
covid-,OpenAIRE,pandemic,OpenAlex,0.7690826557815332,175,137,94,0.4311926605504587
coronavirus disease (covid-),OpenAIRE,infectious disease (medical specialty),OpenAlex,0.9095527129376328,145,287,126,0.4117647058823529
concatenation,OpenAIRE,concatenation (mathematics),OpenAlex,0.5031426234293642,33,55,27,0.4426229508196721
fractal,OpenAIRE,fractal dimension,OpenAlex,0.912024091329642,174,136,72,0.3025210084033613
genetic genealogy,OpenAIRE,ancestry-informative marker,OpenAlex,0.6060308219457292,6,10,4,0.3333333333333333
balanced histogram thresholding,OpenAIRE,histogram matching,OpenAlex,0.8522863265575318,61,80,36,0.3428571428571428
adaptive histogram equalization,OpenAIRE,histogram matching,OpenAlex,0.7939078034727254,55,80,37,0.3775510204081632
histogram matching,OpenAIRE,image histogram,OpenAlex,0.8322859792677181,60,37,28,0.4057971014492754
constraint satisfaction,OpenAIRE,constraint satisfaction problem,OpenAlex,0.933850295412202,92,77,44,0.352
