Category1,Source1,Category2,Source2,Similarity,PapersInC1,PapersInC2,PapersInBoth,Agreement
business,OpenAIRE,computer science,OpenAlex,0.5153315050421815,50194,108555,50194,0.4623831237621482
business,OpenAIRE,artificial intelligence,OpenAlex,0.5118464967170271,50194,108555,50194,0.4623831237621482
computer science,OpenAIRE,artificial intelligence,OpenAlex,0.7153607433899932,35271,108555,35271,0.3249136382478927
image segmentation,OpenAIRE,segmentation,OpenAlex,0.8308392766193361,1377,2408,982,0.3503389225829468
artificial intelligence,OpenAIRE,pattern recognition (psychology),OpenAlex,0.2290931096475114,28362,12667,10098,0.3264685913808153
pattern recognition,OpenAIRE,pattern recognition (psychology),OpenAlex,0.4053248869949377,7486,12667,6416,0.467059765596564
multiple sequence alignment,OpenAIRE,sequence alignment,OpenAlex,0.9364704481556564,123,216,100,0.4184100418410041
biology,OpenAIRE,genetics,OpenAlex,0.8202186941629346,7261,5799,3643,0.3868535627057449
multiple sequence alignment,OpenAIRE,peptide sequence,OpenAlex,0.7739009494836303,123,326,105,0.3052325581395348
sequence alignment,OpenAIRE,peptide sequence,OpenAlex,0.805008242113387,391,326,168,0.3060109289617486
constant (mathematics),OpenAIRE,constant (computer programming),OpenAlex,0.9627891162489256,258,383,149,0.3028455284552845
psychology,OpenAIRE,psychology,OpenAlex,0.6744615937991318,15018,27891,14244,0.4969126111983254
control theory,OpenAIRE,control (management),OpenAlex,0.3037947843606735,6577,12278,6089,0.4769700767664108
psychology,OpenAIRE,cognitive psychology,OpenAlex,0.912697110652914,15018,8378,6440,0.3798065581505072
condorcet's jury theorem,OpenAIRE,jury,OpenAlex,0.5829376299509844,8,8,5,0.4545454545454545
abstraction (linguistics),OpenAIRE,abstraction,OpenAlex,0.3917186749758468,133,249,103,0.3691756272401433
contrast transfer function,OpenAIRE,spherical aberration,OpenAlex,0.7468498888991875,12,19,9,0.4090909090909091
phylogeny,OpenAIRE,phylogenetic tree,OpenAlex,0.4836583479619927,518,477,276,0.3838664812239221
phylogenetics,OpenAIRE,phylogenetic tree,OpenAlex,0.6573630448817155,275,477,182,0.3192982456140351
appetite regulation,OpenAIRE,appetite,OpenAlex,0.681951574390699,7,6,5,0.625
context (language use),OpenAIRE,context (archaeology),OpenAlex,0.9030110254668426,3615,5198,3051,0.5295036445678584
path (graph theory),OpenAIRE,path (computing),OpenAlex,0.9501236039725224,296,590,207,0.304860088365243
segmentation,OpenAIRE,image segmentation,OpenAlex,0.8308392766193361,1752,1328,802,0.3520632133450395
false discovery rate,OpenAIRE,multiple comparisons problem,OpenAlex,0.5814741418836884,77,86,44,0.3697478991596639
benchmark (computing),OpenAIRE,benchmark (surveying),OpenAlex,0.9708058116765804,857,1575,728,0.4272300469483568
rna transfer,OpenAIRE,transfer rna,OpenAlex,0.8678328088289127,21,10,9,0.4090909090909091
convergence (routing),OpenAIRE,convergence (economics),OpenAlex,0.9743841845189588,586,1297,457,0.320476858345021
operator (computer programming),OpenAIRE,operator (biology),OpenAlex,0.9584634161643516,290,488,205,0.3577661431064572
canny edge detector,OpenAIRE,deriche edge detector,OpenAlex,0.9418579089131276,34,19,16,0.4324324324324324
population,OpenAIRE,demography,OpenAlex,0.624707758656191,2348,3352,1467,0.3465627214741318
extended kalman filter,OpenAIRE,kalman filter,OpenAlex,0.7961232620889567,250,760,234,0.3015463917525773
kalman filter,OpenAIRE,extended kalman filter,OpenAlex,0.7961232620889567,505,339,219,0.3504
credit card,OpenAIRE,credit card fraud,OpenAlex,0.917039574949474,31,20,14,0.3783783783783784
antimicrobial peptides,OpenAIRE,antimicrobial,OpenAlex,0.8468768055557144,9,19,7,0.3333333333333333
pascal (programming language),OpenAIRE,pascal (unit),OpenAlex,0.9360546214248844,99,153,89,0.5460122699386503
regularization (mathematics),OpenAIRE,regularization (linguistics),OpenAlex,0.9912354879505668,365,628,277,0.3868715083798882
convolution,OpenAIRE,convolution (computer science),OpenAlex,0.5070127975160097,272,390,175,0.3593429158110883
normalization (statistics),OpenAIRE,normalization (sociology),OpenAlex,0.9866380566786422,230,373,169,0.3894009216589861
orientation (computer vision),OpenAIRE,orientation (vector space),OpenAlex,0.9481038030336312,463,841,325,0.3319713993871297
pedestrian detection,OpenAIRE,pedestrian,OpenAlex,0.742272095516017,58,146,49,0.3161290322580645
superior colliculi,OpenAIRE,superior colliculus,OpenAlex,0.8829660342815074,33,23,16,0.4
lasso (statistics),OpenAIRE,lasso (programming language),OpenAlex,0.9543024020480222,96,124,74,0.5068493150684932
constraint (information theory),OpenAIRE,constraint (computer-aided design),OpenAlex,0.8953447801386162,295,701,241,0.319205298013245
tree (data structure),OpenAIRE,tree (set theory),OpenAlex,0.8840814698629617,306,628,218,0.3044692737430167
pest control,OpenAIRE,integrated pest management,OpenAlex,0.8530207564702805,24,15,10,0.3448275862068966
forum spam,OpenAIRE,spambot,OpenAlex,0.8532028365815232,6,15,6,0.4
spambot,OpenAIRE,forum spam,OpenAlex,0.8532028365815232,11,9,5,0.3333333333333333
email spam,OpenAIRE,forum spam,OpenAlex,0.8109576779011064,10,9,5,0.3571428571428571
arthritis rheumatoid,OpenAIRE,rheumatoid arthritis,OpenAlex,0.7953652210269155,12,9,7,0.5
wavelet transform,OpenAIRE,wavelet,OpenAlex,0.8143585237547277,623,1290,557,0.4107669616519174
wavelet,OpenAIRE,wavelet transform,OpenAlex,0.8143585237547277,953,833,529,0.420843277645187
dataflow,OpenAIRE,dataflow architecture,OpenAlex,0.940006156446393,18,6,6,0.3333333333333333
ranking,OpenAIRE,ranking (information retrieval),OpenAlex,0.3320849104200637,506,861,426,0.4527098831030818
sampling (statistics),OpenAIRE,sampling (signal processing),OpenAlex,0.9519921159442286,459,722,298,0.3374858437146092
wilcoxon signed-rank test,OpenAIRE,mann-whitney u test,OpenAlex,0.3485801460170758,27,38,20,0.4444444444444444
identification (information),OpenAIRE,identification (biology),OpenAlex,0.9738769714436636,1067,1842,781,0.3670112781954887
overhead (computing),OpenAIRE,overhead (engineering),OpenAlex,0.986526699853988,92,158,63,0.3368983957219251
fuzzy set,OpenAIRE,fuzzy logic,OpenAlex,0.4750436437325873,883,2579,818,0.3093797276853253
type- fuzzy sets and systems,OpenAIRE,fuzzy set operations,OpenAlex,0.717850261424734,332,383,181,0.3389513108614232
fuzzy classification,OpenAIRE,fuzzy set operations,OpenAlex,0.5998958820948286,577,383,277,0.4055636896046852
fuzzy number,OpenAIRE,fuzzy set operations,OpenAlex,0.496974567769317,703,383,292,0.3677581863979849
control theory,OpenAIRE,control theory (sociology),OpenAlex,0.443033309422342,6577,8167,5882,0.663732791694877
backscatter,OpenAIRE,backscatter (email),OpenAlex,0.2543244387943068,39,24,17,0.3695652173913043
tracking (particle physics),OpenAIRE,tracking (education),OpenAlex,0.9505763408993172,442,924,343,0.335288367546432
organizational learning,OpenAIRE,organizational learning,OpenAlex,0.8922034901838479,229,220,124,0.3815384615384615
metric (mathematics),OpenAIRE,metric (unit),OpenAlex,0.964636151529378,462,962,365,0.3446647780925401
pyramid (image processing),OpenAIRE,pyramid (geometry),OpenAlex,0.9466360789120374,86,123,62,0.4217687074829932
