Category1,Source1,Category2,Source2,similarity,PapersInC1,PapersInC2,PapersInBoth,Discripancy
vehicle routing problem,OpenAlex,vehicle routing problem,OpenAIRE,1.0,30,22,21,0.6774193548387096
platoon,OpenAIRE,platoon,OpenAlex,1.0,12,12,12,1.0
platoon,OpenAlex,platoon,OpenAIRE,1.0,12,12,12,1.0
artificial immune system,OpenAIRE,artificial immune system,OpenAlex,1.0,10,13,10,0.7692307692307693
artificial immune system,OpenAlex,artificial immune system,OpenAIRE,1.0,13,10,10,0.7692307692307693
optic disk,OpenAIRE,optic disc,OpenAlex,0.8562485746663654,11,10,8,0.6153846153846154
optic disc,OpenAlex,optic disk,OpenAIRE,0.8562485746663654,10,11,8,0.6153846153846154
active contour model,OpenAlex,active contour model,OpenAIRE,1.0,21,24,17,0.6071428571428571
tourism,OpenAIRE,tourism,OpenAlex,1.0,48,62,45,0.6923076923076923
technology acceptance model,OpenAIRE,technology acceptance model,OpenAlex,1.0,33,39,28,0.6363636363636364
technology acceptance model,OpenAlex,technology acceptance model,OpenAIRE,1.0,39,33,28,0.6363636363636364
tourism,OpenAlex,tourism,OpenAIRE,1.0,62,48,45,0.6923076923076923
stochastic volatility,OpenAIRE,stochastic volatility,OpenAlex,1.0,10,9,8,0.7272727272727273
stochastic volatility,OpenAlex,stochastic volatility,OpenAIRE,1.0,9,10,8,0.7272727272727273
vehicle routing problem,OpenAIRE,vehicle routing problem,OpenAlex,1.0,22,30,21,0.6774193548387096
biomolecule,OpenAIRE,biomolecule,OpenAlex,1.0,11,12,9,0.6428571428571429
scale-invariant feature transform,OpenAIRE,scale-invariant feature transform,OpenAlex,1.0,41,43,33,0.6470588235294118
scale-invariant feature transform,OpenAlex,scale-invariant feature transform,OpenAIRE,1.0,43,41,33,0.6470588235294118
kinematics,OpenAIRE,kinematics,OpenAlex,1.0,114,138,96,0.6153846153846154
model predictive control,OpenAIRE,model predictive control,OpenAlex,1.0,95,90,76,0.6972477064220184
model predictive control,OpenAlex,model predictive control,OpenAIRE,1.0,90,95,76,0.6972477064220184
pulse-width modulation,OpenAlex,pulse-width modulation,OpenAIRE,1.0,36,41,30,0.6382978723404256
explanatory power,OpenAIRE,explanatory power,OpenAlex,1.0,12,17,11,0.6111111111111112
explanatory power,OpenAlex,explanatory power,OpenAIRE,1.0,17,12,11,0.6111111111111112
distributed generation,OpenAIRE,distributed generation,OpenAlex,1.0,48,53,39,0.6290322580645161
sizing,OpenAIRE,sizing,OpenAlex,1.0,8,13,8,0.6153846153846154
sizing,OpenAlex,sizing,OpenAIRE,1.0,13,8,8,0.6153846153846154
distributed generation,OpenAlex,distributed generation,OpenAIRE,1.0,53,48,39,0.6290322580645161
intrusion detection system,OpenAIRE,intrusion detection system,OpenAlex,1.0,50,53,44,0.7457627118644068
intrusion detection system,OpenAlex,intrusion detection system,OpenAIRE,1.0,53,50,44,0.7457627118644068
conceptualization,OpenAIRE,conceptualization,OpenAlex,1.0,370,514,345,0.640074211502783
conceptualization,OpenAlex,conceptualization,OpenAIRE,1.0,514,370,345,0.640074211502783
overfitting,OpenAIRE,overfitting,OpenAlex,1.0,85,97,70,0.625
interactivity,OpenAIRE,interactivity,OpenAlex,1.0,15,17,13,0.6842105263157895
interactivity,OpenAlex,interactivity,OpenAIRE,1.0,17,15,13,0.6842105263157895
exponential smoothing,OpenAIRE,exponential smoothing,OpenAlex,1.0,9,8,8,0.8888888888888888
exponential smoothing,OpenAlex,exponential smoothing,OpenAIRE,1.0,8,9,8,0.8888888888888888
autism,OpenAIRE,autism,OpenAlex,1.0,37,41,30,0.625
autism,OpenAlex,autism,OpenAIRE,1.0,41,37,30,0.625
digital watermarking,OpenAIRE,digital watermarking,OpenAlex,1.0,37,39,31,0.6888888888888889
watermark,OpenAIRE,watermark,OpenAlex,1.0,20,22,18,0.75
watermark,OpenAlex,watermark,OpenAIRE,1.0,22,20,18,0.75
digital watermarking,OpenAlex,digital watermarking,OpenAIRE,1.0,39,37,31,0.6888888888888889
quantile regression,OpenAlex,quantile,OpenAIRE,0.9174814467733052,10,13,9,0.6428571428571429
nucleus accumbens,OpenAIRE,nucleus accumbens,OpenAlex,1.0,18,16,14,0.7
nucleus accumbens,OpenAlex,nucleus accumbens,OpenAIRE,1.0,16,18,14,0.7
hyperspectral imaging,OpenAIRE,hyperspectral imaging,OpenAlex,1.0,97,124,91,0.7
hyperspectral imaging,OpenAlex,hyperspectral imaging,OpenAIRE,1.0,124,97,91,0.7
delphi method,OpenAlex,delphi method,OpenAIRE,1.0,111,81,79,0.6991150442477876
numerosity adaptation effect,OpenAIRE,numerosity adaptation effect,OpenAlex,1.0,9,12,8,0.6153846153846154
numerosity adaptation effect,OpenAlex,numerosity adaptation effect,OpenAIRE,1.0,12,9,8,0.6153846153846154
jamming,OpenAIRE,jamming,OpenAlex,1.0,11,10,8,0.6153846153846154
synthetic aperture radar,OpenAlex,synthetic aperture radar,OpenAIRE,1.0,59,66,52,0.7123287671232876
jamming,OpenAlex,jamming,OpenAIRE,1.0,10,11,8,0.6153846153846154
cronbach's alpha,OpenAIRE,cronbach's alpha,OpenAlex,1.0,15,16,12,0.631578947368421
timeline,OpenAIRE,timeline,OpenAlex,1.0,8,10,8,0.8
timeline,OpenAlex,timeline,OpenAIRE,1.0,10,8,8,0.8
thresholding,OpenAIRE,thresholding,OpenAlex,1.0,90,96,71,0.6173913043478261
granger causality,OpenAIRE,granger causality,OpenAlex,1.0,10,9,8,0.7272727272727273
independent component analysis,OpenAIRE,independent component analysis,OpenAlex,1.0,73,67,56,0.6666666666666666
granger causality,OpenAlex,granger causality,OpenAIRE,1.0,9,10,8,0.7272727272727273
stock exchange,OpenAIRE,stock exchange,OpenAlex,1.0,12,8,8,0.6666666666666666
stock exchange,OpenAlex,stock exchange,OpenAIRE,1.0,8,12,8,0.6666666666666666
independent component analysis,OpenAlex,independent component analysis,OpenAIRE,1.0,67,73,56,0.6666666666666666
identifiability,OpenAlex,identifiability,OpenAIRE,1.0,14,16,13,0.7647058823529411
orthogonal frequency-division multiplexing,OpenAIRE,orthogonal frequency-division multiplexing,OpenAlex,1.0,14,9,9,0.6428571428571429
orthogonal frequency-division multiplexing,OpenAlex,orthogonal frequency-division multiplexing,OpenAIRE,1.0,9,14,9,0.6428571428571429
wind power,OpenAIRE,wind power,OpenAlex,1.0,65,66,55,0.7236842105263158
wind power,OpenAlex,wind power,OpenAIRE,1.0,66,65,55,0.7236842105263158
steganography,OpenAIRE,steganography,OpenAlex,1.0,33,36,30,0.7692307692307693
steganography,OpenAlex,steganography,OpenAIRE,1.0,36,33,30,0.7692307692307693
coprime integers,OpenAlex,coprime integers,OpenAIRE,1.0,6,5,5,0.8333333333333334
sky,OpenAIRE,sky,OpenAlex,1.0,13,19,13,0.6842105263157895
sky,OpenAlex,sky,OpenAIRE,1.0,19,13,13,0.6842105263157895
percolation threshold,OpenAlex,percolation threshold,OpenAIRE,1.0,6,4,4,0.6666666666666666
ant colony optimization algorithms,OpenAIRE,ant colony optimization algorithms,OpenAlex,1.0,28,30,22,0.6111111111111112
ant colony optimization algorithms,OpenAlex,ant colony optimization algorithms,OpenAIRE,1.0,30,28,22,0.6111111111111112
postmodernism,OpenAlex,postmodernism,OpenAIRE,1.0,6,4,4,0.6666666666666666
backstepping,OpenAIRE,backstepping,OpenAlex,1.0,41,43,33,0.6470588235294118
lyapunov function,OpenAIRE,lyapunov function,OpenAlex,1.0,133,137,106,0.6463414634146342
lyapunov function,OpenAlex,lyapunov function,OpenAIRE,1.0,137,133,106,0.6463414634146342
backstepping,OpenAlex,backstepping,OpenAIRE,1.0,43,41,33,0.6470588235294118
dither,OpenAIRE,dither,OpenAlex,1.0,7,11,7,0.6363636363636364
pulse-width modulation,OpenAIRE,pulse-width modulation,OpenAlex,1.0,41,36,30,0.6382978723404256
converters,OpenAIRE,converters,OpenAlex,1.0,32,37,26,0.6046511627906976
converters,OpenAlex,converters,OpenAIRE,1.0,37,32,26,0.6046511627906976
dither,OpenAlex,dither,OpenAIRE,1.0,11,7,7,0.6363636363636364
flipped classroom,OpenAIRE,flipped classroom,OpenAlex,1.0,13,13,12,0.8571428571428571
flipped classroom,OpenAlex,flipped classroom,OpenAIRE,1.0,13,13,12,0.8571428571428571
metadata,OpenAIRE,metadata,OpenAlex,1.0,15,19,14,0.7
rough set,OpenAIRE,rough set,OpenAlex,1.0,51,54,46,0.7796610169491526
soft set,OpenAIRE,soft set,OpenAlex,1.0,14,12,11,0.7333333333333333
soft set,OpenAlex,soft set,OpenAIRE,1.0,12,14,11,0.7333333333333333
rough set,OpenAlex,rough set,OpenAIRE,1.0,54,51,46,0.7796610169491526
string metric,OpenAIRE,string metric,OpenAlex,1.0,7,5,5,0.7142857142857143
cyclostationary process,OpenAIRE,cyclostationary process,OpenAlex,1.0,8,7,7,0.875
cyclostationary process,OpenAlex,cyclostationary process,OpenAIRE,1.0,7,8,7,0.875
underwater,OpenAIRE,underwater,OpenAlex,1.0,27,26,21,0.65625
image fusion,OpenAIRE,image fusion,OpenAlex,1.0,60,60,46,0.6216216216216216
image fusion,OpenAlex,image fusion,OpenAIRE,1.0,60,60,46,0.6216216216216216
underwater,OpenAlex,underwater,OpenAIRE,1.0,26,27,21,0.65625
land cover,OpenAIRE,land cover,OpenAlex,1.0,46,48,36,0.6206896551724138
land cover,OpenAlex,land cover,OpenAIRE,1.0,48,46,36,0.6206896551724138
internationalization,OpenAIRE,internationalization,OpenAlex,1.0,14,15,13,0.8125
reputation,OpenAIRE,reputation,OpenAlex,1.0,33,40,28,0.6222222222222222
histogram matching,OpenAIRE,histogram matching,OpenAlex,1.0,15,22,15,0.6818181818181818
adaptive histogram equalization,OpenAIRE,adaptive histogram equalization,OpenAlex,1.0,16,14,13,0.7647058823529411
balanced histogram thresholding,OpenAIRE,balanced histogram thresholding,OpenAlex,1.0,18,21,17,0.7727272727272727
image histogram,OpenAIRE,image histogram,OpenAlex,1.0,13,10,9,0.6428571428571429
balanced histogram thresholding,OpenAlex,balanced histogram thresholding,OpenAIRE,1.0,21,18,17,0.7727272727272727
histogram matching,OpenAlex,histogram matching,OpenAIRE,1.0,22,15,15,0.6818181818181818
adaptive histogram equalization,OpenAlex,adaptive histogram equalization,OpenAIRE,1.0,14,16,13,0.7647058823529411
image histogram,OpenAlex,image histogram,OpenAIRE,1.0,10,13,9,0.6428571428571429
ontology-based data integration,OpenAIRE,ontology-based data integration,OpenAlex,1.0,8,13,8,0.6153846153846154
ontology-based data integration,OpenAlex,ontology-based data integration,OpenAIRE,1.0,13,8,8,0.6153846153846154
discriminative model,OpenAIRE,discriminative model,OpenAlex,1.0,154,206,139,0.6289592760180995
priming (psychology),OpenAIRE,priming (agriculture),OpenAlex,0.9805536485581726,40,37,30,0.6382978723404256
discriminative model,OpenAlex,discriminative model,OpenAIRE,1.0,206,154,139,0.6289592760180995
priming (agriculture),OpenAlex,priming (psychology),OpenAIRE,0.9805536485581726,37,40,30,0.6382978723404256
thresholding,OpenAlex,thresholding,OpenAIRE,1.0,96,90,71,0.6173913043478261
haze,OpenAIRE,haze,OpenAlex,1.0,10,14,10,0.7142857142857143
haze,OpenAlex,haze,OpenAIRE,1.0,14,10,10,0.7142857142857143
brain–computer interface,OpenAIRE,brain–computer interface,OpenAlex,1.0,24,37,23,0.6052631578947368
brain–computer interface,OpenAlex,brain–computer interface,OpenAIRE,1.0,37,24,23,0.6052631578947368
light sheet fluorescence microscopy,OpenAIRE,light sheet fluorescence microscopy,OpenAlex,1.0,9,12,8,0.6153846153846154
optical coherence tomography,OpenAlex,optical coherence tomography,OpenAIRE,1.0,25,23,21,0.7777777777777778
light sheet fluorescence microscopy,OpenAlex,light sheet fluorescence microscopy,OpenAIRE,1.0,12,9,8,0.6153846153846154
worry,OpenAIRE,worry,OpenAlex,1.0,7,6,5,0.625
worry,OpenAlex,worry,OpenAIRE,1.0,6,7,5,0.625
plant disease,OpenAIRE,plant disease,OpenAlex,1.0,12,10,10,0.8333333333333334
plant disease,OpenAlex,plant disease,OpenAIRE,1.0,10,12,10,0.8333333333333334
hilbert–huang transform,OpenAIRE,hilbert–huang transform,OpenAlex,1.0,19,22,18,0.782608695652174
denial-of-service attack,OpenAlex,denial-of-service attack,OpenAIRE,1.0,8,9,7,0.7
electron backscatter diffraction,OpenAIRE,electron backscatter diffraction,OpenAlex,1.0,9,10,8,0.7272727272727273
electron backscatter diffraction,OpenAlex,electron backscatter diffraction,OpenAIRE,1.0,10,9,8,0.7272727272727273
silhouette,OpenAIRE,silhouette,OpenAlex,1.0,10,11,8,0.6153846153846154
silhouette,OpenAlex,silhouette,OpenAIRE,1.0,11,10,8,0.6153846153846154
multivariable calculus,OpenAlex,multivariable calculus,OpenAIRE,1.0,45,37,32,0.64
multivariable calculus,OpenAIRE,multivariable calculus,OpenAlex,1.0,37,45,32,0.64
salinity,OpenAlex,salinity,OpenAIRE,1.0,6,6,5,0.7142857142857143
flexible manufacturing system,OpenAIRE,flexible manufacturing system,OpenAlex,1.0,6,7,6,0.8571428571428571
flexible manufacturing system,OpenAlex,flexible manufacturing system,OpenAIRE,1.0,7,6,6,0.8571428571428571
delphi method,OpenAIRE,delphi method,OpenAlex,1.0,81,111,79,0.6991150442477876
psychopathy,OpenAIRE,psychopathy,OpenAlex,1.0,7,7,6,0.75
psychopathy,OpenAlex,psychopathy,OpenAIRE,1.0,7,7,6,0.75
graphene,OpenAIRE,graphene,OpenAlex,1.0,18,20,16,0.7272727272727273
saccade,OpenAIRE,saccade,OpenAlex,1.0,28,26,22,0.6875
saccade,OpenAlex,saccade,OpenAIRE,1.0,26,28,22,0.6875
rural area,OpenAIRE,rural area,OpenAlex,1.0,7,6,5,0.625
tourism geography,OpenAIRE,tourism geography,OpenAlex,1.0,8,9,7,0.7
rural area,OpenAlex,rural area,OpenAIRE,1.0,6,7,5,0.625
controllability,OpenAlex,controllability,OpenAIRE,1.0,56,64,47,0.6438356164383562
lasso (statistics),OpenAIRE,lasso (programming language),OpenAlex,0.9543024020480222,35,44,30,0.6122448979591837
iterative closest point,OpenAIRE,iterative closest point,OpenAlex,1.0,9,8,7,0.7
iterative closest point,OpenAlex,iterative closest point,OpenAIRE,1.0,8,9,7,0.7
range of motion,OpenAlex,range of motion,OpenAIRE,1.0,7,8,6,0.6666666666666666
attractor,OpenAIRE,attractor,OpenAlex,1.0,88,91,71,0.6574074074074074
attractor,OpenAlex,attractor,OpenAIRE,1.0,91,88,71,0.6574074074074074
islanding,OpenAIRE,islanding,OpenAlex,1.0,6,7,5,0.625
islanding,OpenAlex,islanding,OpenAIRE,1.0,7,6,5,0.625
conjugate gradient method,OpenAIRE,conjugate gradient method,OpenAlex,1.0,23,22,17,0.6071428571428571
conjugate gradient method,OpenAlex,conjugate gradient method,OpenAIRE,1.0,22,23,17,0.6071428571428571
pythagorean theorem,OpenAIRE,pythagorean theorem,OpenAlex,1.0,8,10,8,0.8
pythagorean theorem,OpenAlex,pythagorean theorem,OpenAIRE,1.0,10,8,8,0.8
synthetic aperture radar,OpenAIRE,synthetic aperture radar,OpenAlex,1.0,66,59,52,0.7123287671232876
polarimetry,OpenAIRE,polarimetry,OpenAlex,1.0,12,11,9,0.6428571428571429
speckle noise,OpenAIRE,speckle noise,OpenAlex,1.0,20,19,16,0.6956521739130435
polarimetry,OpenAlex,polarimetry,OpenAIRE,1.0,11,12,9,0.6428571428571429
speckle pattern,OpenAlex,speckle pattern,OpenAIRE,1.0,43,40,34,0.6938775510204082
superordinate goals,OpenAlex,superordinate goals,OpenAIRE,1.0,7,5,5,0.7142857142857143
quantum hall effect,OpenAIRE,quantum hall effect,OpenAlex,1.0,6,4,4,0.6666666666666666
neuromorphic engineering,OpenAIRE,neuromorphic engineering,OpenAlex,1.0,42,49,40,0.7843137254901961
neuromorphic engineering,OpenAlex,neuromorphic engineering,OpenAIRE,1.0,49,42,40,0.7843137254901961
quantum machine learning,OpenAIRE,quantum machine learning,OpenAlex,1.0,8,6,6,0.75
quantum machine learning,OpenAlex,quantum machine learning,OpenAIRE,1.0,6,8,6,0.75
ghost imaging,OpenAIRE,ghost imaging,OpenAlex,1.0,6,6,5,0.7142857142857143
particle swarm optimization,OpenAlex,particle swarm optimization,OpenAIRE,1.0,134,106,95,0.6551724137931034
jacobian matrix and determinant,OpenAIRE,jacobian matrix and determinant,OpenAlex,1.0,20,24,18,0.6923076923076923
jacobian matrix and determinant,OpenAlex,jacobian matrix and determinant,OpenAIRE,1.0,24,20,18,0.6923076923076923
major histocompatibility complex,OpenAIRE,major histocompatibility complex,OpenAlex,1.0,26,24,22,0.7857142857142857
major histocompatibility complex,OpenAlex,major histocompatibility complex,OpenAIRE,1.0,24,26,22,0.7857142857142857
entrepreneurship,OpenAIRE,entrepreneurship,OpenAlex,1.0,90,99,72,0.6153846153846154
entrepreneurship,OpenAlex,entrepreneurship,OpenAIRE,1.0,99,90,72,0.6153846153846154
duty cycle,OpenAIRE,duty cycle,OpenAlex,1.0,7,9,7,0.7777777777777778
magnetoencephalography,OpenAIRE,magnetoencephalography,OpenAlex,1.0,48,44,35,0.6140350877192983
magnetoencephalography,OpenAlex,magnetoencephalography,OpenAIRE,1.0,44,48,35,0.6140350877192983
level set method,OpenAIRE,level set method,OpenAlex,1.0,27,27,23,0.7419354838709677
fast marching method,OpenAIRE,fast marching method,OpenAlex,1.0,7,6,5,0.625
level set method,OpenAlex,level set method,OpenAIRE,1.0,27,27,23,0.7419354838709677
fast marching method,OpenAlex,fast marching method,OpenAIRE,1.0,6,7,5,0.625
cultural heritage,OpenAIRE,cultural heritage,OpenAlex,1.0,7,6,5,0.625
tourism geography,OpenAlex,tourism geography,OpenAIRE,1.0,9,8,7,0.7
cultural heritage,OpenAlex,cultural heritage,OpenAIRE,1.0,6,7,5,0.625
turbine,OpenAIRE,turbine,OpenAlex,1.0,23,32,21,0.6176470588235294
stator,OpenAIRE,stator,OpenAlex,1.0,21,28,21,0.75
turbine,OpenAlex,turbine,OpenAIRE,1.0,32,23,21,0.6176470588235294
magnetometer,OpenAIRE,magnetometer,OpenAlex,1.0,10,11,8,0.6153846153846154
magnetometer,OpenAlex,magnetometer,OpenAIRE,1.0,11,10,8,0.6153846153846154
standard illuminant,OpenAIRE,standard illuminant,OpenAlex,1.0,9,12,9,0.75
color constancy,OpenAIRE,color constancy,OpenAlex,1.0,31,27,22,0.6111111111111112
color constancy,OpenAlex,color constancy,OpenAIRE,1.0,27,31,22,0.6111111111111112
standard illuminant,OpenAlex,standard illuminant,OpenAIRE,1.0,12,9,9,0.75
multipath propagation,OpenAIRE,multipath propagation,OpenAlex,1.0,13,16,12,0.7058823529411765
multipath propagation,OpenAlex,multipath propagation,OpenAIRE,1.0,16,13,12,0.7058823529411765
microgrid,OpenAIRE,microgrid,OpenAlex,1.0,36,36,32,0.8
microgrid,OpenAlex,microgrid,OpenAIRE,1.0,36,36,32,0.8
markov random field,OpenAlex,markov random field,OpenAIRE,1.0,40,34,30,0.6818181818181818
decorrelation,OpenAIRE,decorrelation,OpenAlex,1.0,15,11,11,0.7333333333333333
decorrelation,OpenAlex,decorrelation,OpenAIRE,1.0,11,15,11,0.7333333333333333
ictal,OpenAIRE,ictal,OpenAlex,1.0,13,12,11,0.7857142857142857
ictal,OpenAlex,ictal,OpenAIRE,1.0,12,13,11,0.7857142857142857
mean absolute percentage error,OpenAlex,mean absolute percentage error,OpenAIRE,1.0,6,4,4,0.6666666666666666
cog,OpenAIRE,cog,OpenAlex,1.0,8,10,8,0.8
cog,OpenAlex,cog,OpenAIRE,1.0,10,8,8,0.8
operationalization,OpenAIRE,operationalization,OpenAlex,1.0,64,83,56,0.6153846153846154
operationalization,OpenAlex,operationalization,OpenAIRE,1.0,83,64,56,0.6153846153846154
partial least squares regression,OpenAIRE,partial least squares regression,OpenAlex,1.0,44,47,37,0.6851851851851852
partial least squares regression,OpenAlex,partial least squares regression,OpenAIRE,1.0,47,44,37,0.6851851851851852
