Category1,Source1,Category2,Source2,similarity,PapersInC1,PapersInC2,PapersInBoth,Discripancy
sexual selection,OpenAIRE,sexual selection,OpenAlex,1.0,93,107,84,0.7241379310344828
sexual selection,OpenAlex,sexual selection,OpenAIRE,1.0,107,93,84,0.7241379310344828
absorptive capacity,OpenAIRE,absorptive capacity,OpenAlex,1.0,16,10,10,0.625
multinational corporation,OpenAIRE,multinational corporation,OpenAlex,1.0,22,25,18,0.6206896551724138
absorptive capacity,OpenAlex,absorptive capacity,OpenAIRE,1.0,10,16,10,0.625
multinational corporation,OpenAlex,multinational corporation,OpenAIRE,1.0,25,22,18,0.6206896551724138
multispectral image,OpenAIRE,multispectral image,OpenAlex,1.0,60,68,53,0.7066666666666667
speckle pattern,OpenAIRE,speckle pattern,OpenAlex,1.0,40,43,34,0.6938775510204082
multispectral image,OpenAlex,multispectral image,OpenAIRE,1.0,68,60,53,0.7066666666666667
enantiomer,OpenAIRE,enantiomer,OpenAlex,1.0,11,10,8,0.6153846153846154
enantiomer,OpenAlex,enantiomer,OpenAIRE,1.0,10,11,8,0.6153846153846154
ordinal regression,OpenAIRE,ordinal regression,OpenAlex,1.0,8,8,7,0.7777777777777778
ordinal regression,OpenAlex,ordinal regression,OpenAIRE,1.0,8,8,7,0.7777777777777778
domestication,OpenAIRE,domestication,OpenAlex,1.0,26,28,26,0.9285714285714286
domestication,OpenAlex,domestication,OpenAIRE,1.0,28,26,26,0.9285714285714286
metabolomics,OpenAlex,metabolomics,OpenAIRE,1.0,12,17,11,0.6111111111111112
hypertext,OpenAIRE,hypertext,OpenAlex,1.0,10,13,9,0.6428571428571429
glaucoma,OpenAIRE,glaucoma,OpenAlex,1.0,11,12,11,0.9166666666666666
glaucoma,OpenAlex,glaucoma,OpenAIRE,1.0,12,11,11,0.9166666666666666
convolutional neural network,OpenAIRE,convolutional neural network,OpenAlex,1.0,446,648,413,0.6064610866372981
kinematics,OpenAlex,kinematics,OpenAIRE,1.0,138,114,96,0.6153846153846154
coalescent theory,OpenAIRE,coalescent theory,OpenAlex,1.0,27,33,27,0.8181818181818182
watershed,OpenAIRE,watershed,OpenAlex,1.0,14,15,11,0.6111111111111112
watershed,OpenAlex,watershed,OpenAIRE,1.0,15,14,11,0.6111111111111112
activity recognition,OpenAIRE,activity recognition,OpenAlex,1.0,40,46,34,0.6538461538461539
activity recognition,OpenAlex,activity recognition,OpenAIRE,1.0,46,40,34,0.6538461538461539
particle swarm optimization,OpenAIRE,particle swarm optimization,OpenAlex,1.0,106,134,95,0.6551724137931034
softmax function,OpenAIRE,softmax function,OpenAlex,1.0,26,25,22,0.7586206896551724
convolutional neural network,OpenAlex,convolutional neural network,OpenAIRE,1.0,648,446,413,0.6064610866372981
softmax function,OpenAlex,softmax function,OpenAIRE,1.0,25,26,22,0.7586206896551724
wearable computer,OpenAIRE,wearable computer,OpenAlex,1.0,38,56,36,0.6206896551724138
wearable computer,OpenAlex,wearable computer,OpenAIRE,1.0,56,38,36,0.6206896551724138
identifiability,OpenAIRE,identifiability,OpenAlex,1.0,16,14,13,0.7647058823529411
anomaly detection,OpenAIRE,anomaly detection,OpenAlex,1.0,89,93,71,0.6396396396396397
anomaly detection,OpenAlex,anomaly detection,OpenAIRE,1.0,93,89,71,0.6396396396396397
fusiform gyrus,OpenAlex,fusiform gyrus,OpenAIRE,1.0,10,10,9,0.8181818181818182
corporate social responsibility,OpenAIRE,corporate social responsibility,OpenAlex,1.0,47,45,39,0.7358490566037735
corporate social responsibility,OpenAlex,corporate social responsibility,OpenAIRE,1.0,45,47,39,0.7358490566037735
bigram,OpenAIRE,bigram,OpenAlex,1.0,9,9,7,0.6363636363636364
bigram,OpenAlex,bigram,OpenAIRE,1.0,9,9,7,0.6363636363636364
class size,OpenAlex,class size,OpenAIRE,1.0,9,13,9,0.6923076923076923
adjective,OpenAIRE,adjective,OpenAlex,1.0,9,9,7,0.6363636363636364
adjective,OpenAlex,adjective,OpenAIRE,1.0,9,9,7,0.6363636363636364
iris recognition,OpenAlex,iris recognition,OpenAIRE,1.0,12,14,12,0.8571428571428571
saccadic masking,OpenAIRE,saccadic masking,OpenAlex,1.0,26,32,23,0.6571428571428571
coalescent theory,OpenAlex,coalescent theory,OpenAIRE,1.0,33,27,27,0.8181818181818182
extreme learning machine,OpenAIRE,extreme learning machine,OpenAlex,1.0,27,23,21,0.7241379310344828
extreme learning machine,OpenAlex,extreme learning machine,OpenAIRE,1.0,23,27,21,0.7241379310344828
argumentation theory,OpenAIRE,argumentation theory,OpenAlex,1.0,16,20,15,0.7142857142857143
argumentation theory,OpenAlex,argumentation theory,OpenAIRE,1.0,20,16,15,0.7142857142857143
orbitofrontal cortex,OpenAIRE,orbitofrontal cortex,OpenAlex,1.0,28,27,23,0.71875
orbitofrontal cortex,OpenAlex,orbitofrontal cortex,OpenAIRE,1.0,27,28,23,0.71875
wetting,OpenAIRE,wetting,OpenAlex,1.0,6,6,5,0.7142857142857143
contact angle,OpenAIRE,contact angle,OpenAlex,1.0,7,6,5,0.625
flow shop scheduling,OpenAIRE,flow shop scheduling,OpenAlex,1.0,7,8,6,0.6666666666666666
flow shop scheduling,OpenAlex,flow shop scheduling,OpenAIRE,1.0,8,7,6,0.6666666666666666
wavelet,OpenAIRE,wavelet,OpenAlex,1.0,241,310,213,0.6301775147928994
wavelet,OpenAlex,wavelet,OpenAIRE,1.0,310,241,213,0.6301775147928994
artificial bee colony algorithm,OpenAIRE,artificial bee colony algorithm,OpenAlex,1.0,15,15,13,0.7647058823529411
artificial bee colony algorithm,OpenAlex,artificial bee colony algorithm,OpenAIRE,1.0,15,15,13,0.7647058823529411
openness to experience,OpenAIRE,openness to experience,OpenAlex,1.0,14,19,13,0.65
metagenomics,OpenAlex,metagenomics,OpenAIRE,1.0,31,33,26,0.6842105263157895
illusion,OpenAIRE,illusion,OpenAlex,1.0,29,35,27,0.7297297297297297
illusion,OpenAlex,illusion,OpenAIRE,1.0,35,29,27,0.7297297297297297
equifinality,OpenAIRE,equifinality,OpenAlex,1.0,17,18,14,0.6666666666666666
equifinality,OpenAlex,equifinality,OpenAIRE,1.0,18,17,14,0.6666666666666666
image warping,OpenAIRE,image warping,OpenAlex,1.0,26,34,23,0.6216216216216216
dynamic time warping,OpenAIRE,dynamic time warping,OpenAlex,1.0,29,29,26,0.8125
image warping,OpenAlex,image warping,OpenAIRE,1.0,34,26,23,0.6216216216216216
mindset,OpenAIRE,mindset,OpenAlex,1.0,11,15,11,0.7333333333333333
mindset,OpenAlex,mindset,OpenAIRE,1.0,15,11,11,0.7333333333333333
gesture,OpenAIRE,gesture,OpenAlex,1.0,74,88,63,0.6363636363636364
gesture,OpenAlex,gesture,OpenAIRE,1.0,88,74,63,0.6363636363636364
suffix,OpenAlex,suffix,OpenAIRE,1.0,6,5,5,0.8333333333333334
deblurring,OpenAIRE,deblurring,OpenAlex,1.0,24,21,18,0.6666666666666666
deblurring,OpenAlex,deblurring,OpenAIRE,1.0,21,24,18,0.6666666666666666
prosocial behavior,OpenAIRE,prosocial behavior,OpenAlex,1.0,23,23,18,0.6428571428571429
prosocial behavior,OpenAlex,prosocial behavior,OpenAIRE,1.0,23,23,18,0.6428571428571429
structural health monitoring,OpenAIRE,structural health monitoring,OpenAlex,1.0,7,8,6,0.6666666666666666
structural health monitoring,OpenAlex,structural health monitoring,OpenAIRE,1.0,8,7,6,0.6666666666666666
trichromacy,OpenAIRE,trichromacy,OpenAlex,1.0,8,9,7,0.7
trichromacy,OpenAlex,trichromacy,OpenAIRE,1.0,9,8,7,0.7
cruise control,OpenAIRE,cruise control,OpenAlex,1.0,14,17,14,0.8235294117647058
cruise control,OpenAlex,cruise control,OpenAIRE,1.0,17,14,14,0.8235294117647058
