Category1,Source1,Category2,Source2,similarity,PapersInC1,PapersInC2,PapersInBoth,Discripancy
humans,OpenAIRE,neuroscience,OpenAlex,0.3963452826205165,4998,3636,1826,0.268213866039953
cognition,OpenAIRE,neuroscience,OpenAlex,0.7073213604074343,1074,3636,838,0.2164256198347107
psychology,OpenAIRE,neuroscience,OpenAlex,1.0000000315662831,4003,3636,1924,0.33665791776028
sexual selection,OpenAlex,mate choice,OpenAIRE,0.4012893196514377,107,51,37,0.3057851239669421
mate choice,OpenAlex,sexual selection,OpenAIRE,0.4012893196514377,58,93,46,0.4380952380952381
mating,OpenAlex,sexual selection,OpenAIRE,0.6427836963057078,91,93,55,0.4263565891472868
selection (genetic algorithm),OpenAlex,biology,OpenAIRE,0.3369721405341506,1923,2128,824,0.255345522156802
computational biology,OpenAlex,biology,OpenAIRE,0.9027508892126634,769,2128,565,0.2422813036020583
evolutionary biology,OpenAlex,biology,OpenAIRE,0.9399967557069244,1672,2128,751,0.2463102656608724
genetics,OpenAlex,biology,OpenAIRE,0.8202186941629346,1750,2128,1135,0.4137805322639445
gene,OpenAlex,biology,OpenAIRE,0.4150401839209416,2468,2128,1077,0.3060528559249786
strategy and management,OpenAIRE,business,OpenAlex,0.6856893568974809,927,2222,548,0.2106881968473664
marketing,OpenAIRE,business,OpenAlex,0.7651258677085938,1239,2222,806,0.303578154425612
economics and business,OpenAIRE,business,OpenAlex,0.8179085372478633,2249,2222,977,0.2796222095020034
business & management,OpenAIRE,business,OpenAlex,0.5051385913265363,1242,2222,742,0.2725936811168258
business & management,OpenAIRE,knowledge management,OpenAlex,0.493979795480599,1242,959,421,0.2365168539325842
strategy and management,OpenAIRE,knowledge management,OpenAlex,0.8754857108216925,927,959,322,0.2058823529411764
marketing,OpenAIRE,knowledge management,OpenAlex,0.7510715481494556,1239,959,401,0.223149693934335
business,OpenAlex,strategy and management,OpenAIRE,0.6856893568974809,2222,927,548,0.2106881968473664
knowledge management,OpenAlex,strategy and management,OpenAIRE,0.8754857108216925,959,927,322,0.2058823529411764
marketing,OpenAlex,strategy and management,OpenAIRE,0.7679208802510227,1130,927,345,0.201518691588785
psychology,OpenAlex,social sciences,OpenAIRE,0.7303397909770625,7484,4511,2541,0.2687751216416332
marketing,OpenAlex,economics and business,OpenAIRE,0.738942526646174,1130,2249,612,0.221178171304662
business,OpenAlex,economics and business,OpenAIRE,0.8179085372478633,2222,2249,977,0.2796222095020034
business,OpenAlex,marketing,OpenAIRE,0.7651258677085938,2222,1239,806,0.303578154425612
knowledge management,OpenAlex,marketing,OpenAIRE,0.7510715481494556,959,1239,401,0.223149693934335
marketing,OpenAlex,business and international management,OpenAIRE,0.7711249624520579,1130,621,292,0.2001370801919122
knowledge management,OpenAlex,business & management,OpenAIRE,0.493979795480599,959,1242,421,0.2365168539325842
business,OpenAlex,business & management,OpenAIRE,0.5051385913265363,2222,1242,742,0.2725936811168258
fractal dimension,OpenAIRE,fractal,OpenAlex,0.912024091329642,18,82,17,0.2048192771084337
fractal,OpenAIRE,fractal dimension,OpenAlex,0.912024091329642,58,39,23,0.3108108108108108
correlation dimension,OpenAIRE,fractal dimension,OpenAlex,0.811236087833342,14,39,10,0.2325581395348837
fractal analysis,OpenAIRE,fractal dimension,OpenAlex,0.8307394036039513,18,39,12,0.2666666666666666
mathematics,OpenAIRE,mathematical analysis,OpenAlex,0.7658389802251167,5052,3372,1515,0.2192792010421189
electric power distribution/electrical grid/distributed generation,OpenAIRE,voltage,OpenAlex,0.5140734348513621,196,441,118,0.2273603082851637
nanotechnology,OpenAlex,materials science,OpenAIRE,0.7663450622050975,543,464,212,0.2666666666666666
statistical physics,OpenAlex,general physics and astronomy,OpenAIRE,0.8458860790086603,755,574,227,0.2059891107078039
fractal,OpenAlex,fractal dimension,OpenAIRE,0.912024091329642,82,18,17,0.2048192771084337
fractal landscape,OpenAlex,fractal dimension,OpenAIRE,0.8226740726094172,7,18,6,0.3157894736842105
fractal analysis,OpenAlex,fractal dimension,OpenAIRE,0.8307394036039513,17,18,11,0.4583333333333333
fractal dimension on networks,OpenAlex,fractal dimension,OpenAIRE,0.618853832193454,11,18,9,0.45
